frame.len,frame.protocols,ip.hdr_len,ip.len,ip.flags.rb,ip.flags.df,p.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,tcp.ack,tcp.flags.res,tcp.flags.ns,tcp.flags.cwr,tcp.flags.ecn,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,tcp.window_size,tcp.time_delta,Y
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65196,1460,446,0,0,0,0,0,1,0,0,0,0,130816,0.000000000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65196,1460,446,0,0,0,0,0,1,0,0,0,0,130816,0.000000000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65196,1460,446,0,0,0,0,0,1,0,0,0,0,130816,0.000000000,normal
1117,eth:ethertype:ip:tcp,20,1103,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65196,1063,446,0,0,0,0,0,1,1,0,0,0,130816,0.000000000,normal
71,eth:ethertype:ip:tcp,20,57,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65195,17,448,0,0,0,0,0,1,1,0,0,0,130816,0.038166000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65194,1460,452,0,0,0,0,0,1,0,0,0,0,130816,0.000385000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65194,1460,452,0,0,0,0,0,1,0,0,0,0,130816,0.000000000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65194,1460,452,0,0,0,0,0,1,0,0,0,0,130816,0.000000000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65194,1460,452,0,0,0,0,0,1,0,0,0,0,130816,0.000000000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65196,1460,446,0,0,0,0,0,1,0,0,0,0,130816,0.000477000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65196,1460,446,0,0,0,0,0,1,0,0,0,0,130816,0.000000000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65196,1460,446,0,0,0,0,0,1,0,0,0,0,130816,0.000000000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65196,1460,446,0,0,0,0,0,1,0,0,0,0,130816,0.000000000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65196,1460,446,0,0,0,0,0,1,0,0,0,0,130816,0.299213000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65194,1460,452,0,0,0,0,0,1,0,0,0,0,130816,0.299330000,normal
487,eth:ethertype:ip:tcp,20,473,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65195,433,448,0,0,0,0,0,1,1,0,0,0,130816,0.299572000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65194,8000,0,1478,0,0,0,0,0,1,0,0,0,0,65536,0.131933000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65196,8000,0,18,0,0,0,0,0,1,0,0,0,0,65536,0.131933000,normal
